,full_name,age_201718,birthday,league_201718,season_201718,position_201718,Current Club_201718,minutes_played_overall_201718,nationality_201718,appearances_overall_201718,goals_overall_201718,assists_overall_201718,penalty_goals_201718,penalty_misses_201718,clean_sheets_overall_201718,conceded_overall_201718,yellow_cards_overall_201718,red_cards_overall_201718,goals_involved_per_90_overall_201718,assists_per_90_overall_201718,goals_per_90_overall_201718,min_per_goal_overall_201718,conceded_per_90_overall_201718,min_per_conceded_overall_201718,min_per_match_201718,min_per_card_overall_201718,min_per_assist_overall_201718,cards_per_90_overall_201718,rank_in_league_top_attackers_201718,rank_in_league_top_midfielders_201718,rank_in_league_top_defenders_201718,rank_in_club_top_scorer_201718,age_201819,league_201819,season_201819,position_201819,Current Club_201819,minutes_played_overall_201819,nationality_201819,appearances_overall_201819,goals_overall_201819,assists_overall_201819,penalty_goals_201819,penalty_misses_201819,clean_sheets_overall_201819,conceded_overall_201819,yellow_cards_overall_201819,red_cards_overall_201819,goals_involved_per_90_overall_201819,assists_per_90_overall_201819,goals_per_90_overall_201819,min_per_goal_overall_201819,conceded_per_90_overall_201819,min_per_conceded_overall_201819,min_per_match_201819,min_per_card_overall_201819,min_per_assist_overall_201819,cards_per_90_overall_201819,rank_in_league_top_attackers_201819,rank_in_league_top_midfielders_201819,rank_in_league_top_defenders_201819,rank_in_club_top_scorer_201819,age_201920,league_201920,season_201920,position_201920,Current Club_201920,minutes_played_overall_201920,nationality_201920,appearances_overall_201920,goals_overall_201920,assists_overall_201920,penalty_goals_201920,penalty_misses_201920,clean_sheets_overall_201920,conceded_overall_201920,yellow_cards_overall_201920,red_cards_overall_201920,goals_involved_per_90_overall_201920,assists_per_90_overall_201920,goals_per_90_overall_201920,min_per_goal_overall_201920,conceded_per_90_overall_201920,min_per_conceded_overall_201920,min_per_match_201920,min_per_card_overall_201920,min_per_assist_overall_201920,cards_per_90_overall_201920,rank_in_league_top_attackers_201920,rank_in_league_top_midfielders_201920,rank_in_league_top_defenders_201920,rank_in_club_top_scorer_201920
314,Jose Izquierdo,28,710467200,Premier League,2017/2018,Forward,Brighton & Hove Albion,1987,Colombia,32,5,3,0,0,8,30,2,0,0.36,0.14,0.23,397,1.36,66,62,994,662,0.09,73,97,-1,3,28.0,Premier League,2018/2019,Forward,Brighton & Hove Albion,794.0,Colombia,15.0,0.0,1.0,0.0,0.0,5.0,8.0,1.0,0.0,0.11,0.11,0.0,0.0,0.91,99.0,53.0,794.0,794.0,0.11,266.0,136.0,-1.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,José Leonardo Ulloa,34,522720000,Premier League,2017/2018,Forward,Brighton & Hove Albion,279,Argentina,14,1,0,0,0,2,3,0,0,0.32,0.0,0.32,279,0.97,93,20,0,0,0.0,48,386,-1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,José Luis Sanmartín Mato,30,638496000,Premier League,2017/2018,Forward,Newcastle United,1716,Spain,30,4,1,0,1,7,25,2,0,0.26,0.05,0.21,429,1.31,69,57,858,1716,0.1,92,199,-1,3,30.0,Premier League,2018/2019,Forward,Newcastle United,586.0,Spain,16.0,2.0,0.0,0.0,0.0,4.0,12.0,1.0,0.0,0.31,0.0,0.31,293.0,1.84,49.0,37.0,586.0,0.0,0.15,61.0,265.0,-1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,José Ramiro Funes Mori,29,668131200,Premier League,2017/2018,Defender,Everton,119,Argentina,4,0,0,0,0,1,2,1,0,0.0,0.0,0.0,0,1.51,60,30,119,0,0.76,-1,-1,-1,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,Joseph Willock,21,935107200,Premier League,2017/2018,Midfielder,Arsenal,82,England,2,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0,1.1,82,41,0,0,0.0,-1,-1,-1,17,21.0,Premier League,2018/2019,Midfielder,Arsenal,64.0,England,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,16.0,21.0,Premier League,2019/2020,Midfielder,Arsenal,844.0,England,29.0,1.0,1.0,0.0,0.0,8.0,15.0,2.0,0.0,0.21,0.11,0.11,844.0,1.6,56.0,29.0,422.0,844.0,0.21,138.0,121.0,-1.0,15.0
319,Josh Cullen,24,828835200,Premier League,2017/2018,Midfielder,West Ham United,6,Republic of Ireland,2,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0.0,0,3,0,0,0.0,-1,-1,-1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,Josh Pask,23,878342400,Premier League,2017/2018,Defender,West Ham United,0,England,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,Josh Tymon,21,927331200,Premier League,2017/2018,Defender,Stoke City,163,England,3,0,0,0,0,0,9,0,0,0.0,0.0,0.0,0,4.97,18,54,0,0,0.0,-1,-1,-1,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,Joshua King,28,695433600,Premier League,2017/2018,Forward,AFC Bournemouth,2456,Norway,33,8,3,2,0,6,34,3,0,0.4,0.11,0.29,307,1.25,72,74,819,819,0.11,56,123,-1,2,28.0,Premier League,2018/2019,Forward,AFC Bournemouth,2974.0,Norway,35.0,12.0,3.0,5.0,1.0,9.0,54.0,3.0,0.0,0.45,0.09,0.36,248.0,1.63,55.0,85.0,991.0,991.0,0.09,49.0,157.0,-1.0,2.0,28.0,Premier League,2019/2020,Forward,AFC Bournemouth,2020.0,Norway,26.0,6.0,4.0,3.0,0.0,5.0,37.0,0.0,0.0,0.45,0.18,0.27,337.0,1.65,55.0,78.0,0.0,505.0,0.0,60.0,65.0,-1.0,3.0
323,Joshua Sims,23,859507200,Premier League,2017/2018,Midfielder,Southampton,159,England,6,0,0,0,0,1,2,0,0,0.0,0.0,0.0,0,1.13,80,27,0,0,0.0,-1,-1,-1,15,23.0,Premier League,2018/2019,Midfielder,Southampton,209.0,England,7.0,0.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,0.43,0.43,0.0,0.0,2.15,42.0,30.0,0.0,209.0,0.0,-1.0,-1.0,-1.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,Joy Mukena,21,930960000,Premier League,2017/2018,Defender,Watford,0,England,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,Juan Marcos Foyth,22,884563200,Premier League,2017/2018,Defender,Tottenham Hotspur,0,Argentina,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,-1,-1,-1,-1,22.0,Premier League,2018/2019,Defender,Tottenham Hotspur,930.0,Argentina,12.0,1.0,0.0,0.0,0.0,4.0,10.0,4.0,1.0,0.1,0.0,0.1,930.0,0.97,93.0,78.0,186.0,0.0,0.48,157.0,334.0,28.0,14.0,22.0,Premier League,2019/2020,Defender,Tottenham Hotspur,66.0,Argentina,4.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.73,33.0,17.0,66.0,0.0,1.36,-1.0,-1.0,-1.0,22.0
326,Juan Mata,32,578188800,Premier League,2017/2018,Midfielder,Manchester United,1933,Spain,28,3,5,0,0,15,10,1,0,0.37,0.23,0.14,644,0.47,193,69,1933,387,0.05,127,46,-1,9,32.0,Premier League,2018/2019,Midfielder,Manchester United,1294.0,Spain,22.0,3.0,2.0,0.0,0.0,4.0,14.0,3.0,0.0,0.35,0.14,0.21,431.0,0.97,92.0,59.0,431.0,647.0,0.21,92.0,103.0,-1.0,6.0,32.0,Premier League,2019/2020,Midfielder,Manchester United,753.0,Spain,19.0,0.0,2.0,0.0,0.0,5.0,6.0,1.0,0.0,0.24,0.24,0.0,0.0,0.72,126.0,40.0,753.0,377.0,0.12,387.0,35.0,-1.0,26.0
327,Julián Speroni,41,295833600,Premier League,2017/2018,Goalkeeper,Crystal Palace,990,Argentina,11,0,0,0,0,2,14,0,0,0.0,0.0,0.0,0,1.27,71,90,0,0,0.0,398,349,75,19,41.0,Premier League,2018/2019,Goalkeeper,Crystal Palace,90.0,Argentina,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,30.0,90.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,Julien Ngoy,23,878428800,Premier League,2017/2018,Forward,Stoke City,19,Belgium,1,0,0,0,0,0,2,0,0,0.0,0.0,0.0,0,9.47,10,19,0,0,0.0,-1,-1,-1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,Junior Stanislas,31,628041600,Premier League,2017/2018,Midfielder,AFC Bournemouth,1296,England,19,5,2,1,0,2,21,1,0,0.49,0.14,0.35,259,1.46,62,68,1296,648,0.07,41,95,-1,4,31.0,Premier League,2018/2019,Midfielder,AFC Bournemouth,1027.0,England,23.0,2.0,3.0,1.0,0.0,7.0,24.0,1.0,0.0,0.44,0.26,0.18,514.0,2.1,43.0,45.0,1027.0,342.0,0.09,104.0,35.0,-1.0,7.0,31.0,Premier League,2019/2020,Midfielder,AFC Bournemouth,710.0,England,15.0,3.0,0.0,1.0,0.0,1.0,16.0,1.0,0.0,0.38,0.0,0.38,237.0,2.03,44.0,47.0,710.0,0.0,0.13,42.0,334.0,-1.0,5.0
330,Jürgen Locadia,27,752630400,Premier League,2017/2018,Forward,Brighton & Hove Albion,224,Netherlands,6,1,1,0,0,0,8,0,0,0.8,0.4,0.4,224,3.21,28,37,0,224,0.0,-1,-1,-1,8,27.0,Premier League,2018/2019,Forward,Brighton & Hove Albion,1227.0,Netherlands,26.0,2.0,0.0,0.0,0.0,4.0,19.0,1.0,0.0,0.15,0.0,0.15,614.0,1.39,65.0,47.0,1227.0,0.0,0.07,120.0,281.0,-1.0,7.0,27.0,Premier League,2019/2020,Forward,Brighton & Hove Albion,86.0,Netherlands,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,20.0
331,Kane Wilson,20,952732800,Premier League,2017/2018,Defender,West Bromwich Albion,0,England,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,Karl Darlow,30,655344000,Premier League,2017/2018,Goalkeeper,Newcastle United,900,England,10,0,0,0,0,2,15,0,0,0.0,0.0,0.0,0,1.5,60,90,0,0,0.0,367,340,136,19,30.0,Premier League,2018/2019,Goalkeeper,Newcastle United,0.0,England,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,30.0,Premier League,2019/2020,Goalkeeper,Newcastle United,0.0,England,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0
333,Kasey Palmer,24,847497600,Premier League,2017/2018,Midfielder,Huddersfield Town,168,England,4,0,0,0,0,3,2,2,0,0.0,0.0,0.0,0,1.07,84,42,84,0,1.07,-1,-1,-1,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,Kasper Schmeichel,34,531532800,Premier League,2017/2018,Goalkeeper,Leicester City,2966,Denmark,33,0,0,0,0,8,45,3,0,0.0,0.0,0.0,0,1.37,66,90,989,0,0.09,332,246,96,15,34.0,Premier League,2018/2019,Goalkeeper,Leicester City,3420.0,Denmark,38.0,0.0,0.0,0.0,0.0,10.0,43.0,3.0,0.0,0.0,0.0,0.0,0.0,1.13,80.0,90.0,1140.0,0.0,0.08,342.0,302.0,50.0,25.0,34.0,Premier League,2019/2020,Goalkeeper,Leicester City,3420.0,Denmark,38.0,0.0,0.0,0.0,0.0,13.0,38.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,90.0,90.0,1710.0,0.0,0.05,393.0,324.0,37.0,18.0
335,Kazaiah Sterling,22,910569600,Premier League,2017/2018,Forward,Tottenham Hotspur,0,England,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,-1,-1,-1,-1,22.0,Premier League,2018/2019,Forward,Tottenham Hotspur,0.0,England,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,Kelechi Iheanacho,24,844300800,Premier League,2017/2018,Forward,Leicester City,867,Nigeria,21,3,3,0,0,3,18,2,0,0.62,0.31,0.31,289,1.87,48,41,434,289,0.21,52,17,-1,4,24.0,Premier League,2018/2019,Forward,Leicester City,926.0,Nigeria,30.0,1.0,3.0,0.0,0.0,6.0,11.0,2.0,0.0,0.39,0.29,0.1,926.0,1.07,84.0,31.0,463.0,309.0,0.19,169.0,24.0,-1.0,13.0,24.0,Premier League,2019/2020,Forward,Leicester City,962.0,Nigeria,20.0,5.0,3.0,0.0,0.0,4.0,8.0,1.0,0.0,0.75,0.28,0.47,192.0,0.75,120.0,48.0,962.0,321.0,0.09,26.0,28.0,-1.0,5.0
337,Keshi Anderson,25,797126400,Premier League,2017/2018,Forward,Crystal Palace,0,England,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,Kevin De Bruyne,29,678067200,Premier League,2017/2018,Midfielder,Manchester City,3085,Belgium,37,8,16,0,0,18,20,2,0,0.7,0.47,0.23,386,0.58,154,83,1543,193,0.06,75,4,-1,6,29.0,Premier League,2018/2019,Midfielder,Manchester City,974.0,Belgium,19.0,2.0,2.0,0.0,0.0,12.0,3.0,2.0,0.0,0.37,0.18,0.18,487.0,0.28,325.0,51.0,487.0,487.0,0.18,109.0,75.0,-1.0,10.0,29.0,Premier League,2019/2020,Midfielder,Manchester City,2800.0,Belgium,35.0,13.0,20.0,2.0,0.0,17.0,21.0,3.0,0.0,1.06,0.64,0.42,215.0,0.68,133.0,80.0,933.0,140.0,0.1,31.0,1.0,-1.0,4.0
339,Kevin Long,30,650937600,Premier League,2017/2018,Defender,Burnley,1440,Republic of Ireland,16,1,2,0,0,4,18,1,0,0.19,0.13,0.06,1440,1.13,80,90,1440,720,0.06,192,101,60,8,30.0,Premier League,2018/2019,Defender,Burnley,513.0,Republic of Ireland,6.0,0.0,1.0,0.0,0.0,1.0,7.0,0.0,0.0,0.18,0.18,0.0,0.0,1.23,73.0,86.0,0.0,513.0,0.0,293.0,72.0,70.0,15.0,30.0,Premier League,2019/2020,Defender,Burnley,562.0,Republic of Ireland,8.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,112.0,70.0,0.0,0.0,0.0,321.0,409.0,12.0,16.0
340,Kevin Mirallas,33,560390400,Premier League,2017/2018,Forward,Everton,138,Belgium,5,0,0,0,0,1,7,1,0,0.0,0.0,0.0,0,4.57,20,28,138,0,0.65,-1,-1,-1,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,Kevin Wimmer,28,721785600,Premier League,2017/2018,Defender,Stoke City,1321,Austria,17,0,0,0,0,1,31,5,0,0.0,0.0,0.0,0,2.11,43,78,264,0,0.34,374,396,173,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,Kieran Gibbs,31,622771200,Premier League,2017/2018,Defender,West Bromwich Albion,2831,England,33,0,1,0,0,8,41,3,0,0.03,0.03,0.0,0,1.3,69,86,944,2831,0.1,297,233,84,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,Kieran Trippier,30,653702400,Premier League,2017/2018,Defender,Tottenham Hotspur,1914,England,24,0,5,0,0,9,17,1,0,0.24,0.24,0.0,0,0.8,113,80,1914,383,0.05,275,42,25,11,30.0,Premier League,2018/2019,Defender,Tottenham Hotspur,2278.0,England,27.0,1.0,3.0,0.0,0.0,10.0,20.0,2.0,0.0,0.16,0.12,0.04,2278.0,0.79,114.0,84.0,1139.0,759.0,0.08,230.0,122.0,19.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,Konstantinos Mavropanos,23,881798400,Premier League,2017/2018,Defender,Arsenal,195,Greece,3,0,0,0,0,1,2,1,1,0.0,0.0,0.0,0,0.92,98,65,98,0,0.92,-1,-1,-1,26,23.0,Premier League,2018/2019,Defender,Arsenal,150.0,Greece,4.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6,150.0,38.0,150.0,0.0,0.6,-1.0,-1.0,-1.0,19.0,23.0,Premier League,2019/2020,Defender,Arsenal,0.0,Greece,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0
345,Konstantinos Stafylidis,27,754790400,Premier League,2017/2018,Defender,Stoke City,335,Greece,5,0,0,0,0,1,6,0,0,0.0,0.0,0.0,0,1.61,56,67,0,0,0.0,274,278,155,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346,Kristoffer Nordfeldt,31,614563200,Premier League,2017/2018,Goalkeeper,Swansea City,0,Sweden,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,Kurt Zouma,26,783216000,Premier League,2017/2018,Defender,Stoke City,2887,France,34,1,0,0,0,6,48,1,0,0.03,0.0,0.03,2887,1.5,60,85,2887,0,0.03,240,372,135,9,26.0,Premier League,2018/2019,Defender,Everton,2610.0,France,32.0,2.0,2.0,0.0,0.0,11.0,37.0,5.0,1.0,0.14,0.07,0.07,1305.0,1.28,71.0,82.0,522.0,1305.0,0.17,192.0,185.0,83.0,7.0,26.0,Premier League,2019/2020,Defender,Chelsea,2342.0,France,28.0,0.0,0.0,0.0,0.0,7.0,37.0,6.0,0.0,0.0,0.0,0.0,0.0,1.42,63.0,84.0,390.0,0.0,0.23,391.0,406.0,112.0,25.0
348,Kyle Bartley,29,674870400,Premier League,2017/2018,Defender,Swansea City,233,England,5,0,0,0,0,1,4,2,0,0.0,0.0,0.0,0,1.55,58,47,117,0,0.77,-1,-1,-1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,Kyle Jameson,22,905472000,Premier League,2017/2018,Defender,West Bromwich Albion,0,England,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,Kyle Naughton,32,595209600,Premier League,2017/2018,Defender,Swansea City,3033,England,34,0,2,0,0,9,47,1,0,0.06,0.06,0.0,0,1.39,65,89,3033,1517,0.03,322,181,104,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,Kyle Scott,23,882748800,Premier League,2017/2018,Midfielder,Chelsea,0,USA,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,Kyle Taylor,21,935798400,Premier League,2017/2018,Midfielder,AFC Bournemouth,0,England,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,-1,-1,-1,-1,21.0,Premier League,2018/2019,Midfielder,AFC Bournemouth,0.0,England,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,Kyle Walker,30,643852800,Premier League,2017/2018,Defender,Manchester City,2787,England,32,0,6,0,0,15,20,4,1,0.19,0.19,0.0,0,0.65,139,87,697,465,0.13,359,65,10,23,30.0,Premier League,2018/2019,Defender,Manchester City,2777.0,England,33.0,1.0,1.0,0.0,0.0,18.0,17.0,3.0,0.0,0.06,0.03,0.03,2777.0,0.55,163.0,84.0,926.0,2777.0,0.1,250.0,248.0,10.0,14.0,30.0,Premier League,2019/2020,Defender,Manchester City,2397.0,England,29.0,1.0,4.0,0.0,0.0,14.0,24.0,5.0,0.0,0.19,0.15,0.04,2397.0,0.9,100.0,83.0,479.0,599.0,0.19,239.0,87.0,27.0,13.0
354,Kyle Walker-Peters,23,860889600,Premier League,2017/2018,Defender,Tottenham Hotspur,188,England,3,0,2,0,0,2,4,0,0,0.96,0.96,0.0,0,1.91,47,63,0,94,0.0,-1,-1,-1,21,23.0,Premier League,2018/2019,Defender,Tottenham Hotspur,374.0,England,6.0,0.0,3.0,0.0,0.0,3.0,4.0,1.0,0.0,0.72,0.72,0.0,0.0,0.96,94.0,62.0,374.0,125.0,0.24,357.0,1.0,25.0,21.0,23.0,Premier League,2019/2020,Defender,Southampton,943.0,England,13.0,0.0,0.0,0.0,0.0,3.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1.15,79.0,73.0,943.0,0.0,0.1,414.0,391.0,58.0,18.0
355,Lasse Sørensen,21,940464000,Premier League,2017/2018,Midfielder,Stoke City,76,Denmark,1,0,1,0,0,0,1,0,0,1.18,1.18,0.0,0,1.18,76,76,0,76,0.0,-1,-1,-1,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,Laurent Depoitre,32,597456000,Premier League,2017/2018,Forward,Huddersfield Town,1808,Belgium,33,6,1,0,0,7,32,1,0,0.35,0.05,0.3,301,1.59,57,55,1808,1808,0.05,53,192,-1,2,32.0,Premier League,2018/2019,Forward,Huddersfield Town,1059.0,Belgium,23.0,0.0,1.0,0.0,0.0,3.0,22.0,1.0,0.0,0.08,0.08,0.0,0.0,1.87,48.0,46.0,1059.0,1059.0,0.08,331.0,169.0,-1.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,Laurent Koscielny,35,495158400,Premier League,2017/2018,Defender,Arsenal,2227,France,25,2,0,0,0,8,31,4,0,0.08,0.0,0.08,1114,1.25,72,89,557,0,0.16,170,250,74,12,35.0,Premier League,2018/2019,Defender,Arsenal,1328.0,France,17.0,3.0,0.0,0.0,0.0,4.0,21.0,1.0,0.0,0.2,0.0,0.2,443.0,1.42,63.0,78.0,1328.0,0.0,0.07,93.0,295.0,103.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,Layton Ndukwu,22,905126400,Premier League,2017/2018,Forward,Leicester City,0,England,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,Lee Grant,37,412473600,Premier League,2017/2018,Goalkeeper,Stoke City,270,England,3,0,0,0,0,0,6,0,0,0.0,0.0,0.0,0,2.0,45,90,0,0,0.0,-1,-1,-1,23,37.0,Premier League,2018/2019,Goalkeeper,Manchester United,0.0,England,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,37.0,Premier League,2019/2020,Goalkeeper,Manchester United,0.0,England,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0
360,Leighton Baines,36,471571200,Premier League,2017/2018,Defender,Everton,1910,England,22,2,3,2,0,5,31,1,0,0.24,0.14,0.09,955,1.46,62,87,1910,637,0.05,165,98,123,8,36.0,Premier League,2018/2019,Defender,Everton,376.0,England,6.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.44,63.0,63.0,0.0,0.0,0.0,410.0,287.0,109.0,21.0,36.0,Premier League,2019/2020,Defender,Everton,402.0,England,8.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.79,50.0,50.0,0.0,0.0,0.0,265.0,319.0,148.0,14.0
361,Leon Britton,38,400982400,Premier League,2017/2018,Midfielder,Swansea City,305,England,5,0,0,0,0,2,1,1,0,0.0,0.0,0.0,0,0.3,305,61,305,0,0.3,324,345,-1,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362,Leroy Fer,30,631497600,Premier League,2017/2018,Midfielder,Swansea City,1397,Netherlands,20,1,1,0,0,6,24,5,0,0.13,0.06,0.06,1397,1.55,58,70,279,1397,0.32,196,179,-1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,Leroy Sané,24,821318400,Premier League,2017/2018,Midfielder,Manchester City,2423,Germany,32,10,15,0,0,15,21,4,0,0.93,0.56,0.37,242,0.78,115,76,606,162,0.15,35,1,-1,4,24.0,Premier League,2018/2019,Midfielder,Manchester City,1867.0,Germany,31.0,10.0,10.0,0.0,0.0,16.0,14.0,1.0,0.0,0.96,0.48,0.48,187.0,0.67,133.0,60.0,1867.0,187.0,0.05,19.0,4.0,-1.0,3.0,24.0,Premier League,2019/2020,Midfielder,Manchester City,11.0,Germany,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,16.0
364,Levi Lumeka,22,904953600,Premier League,2017/2018,Forward,Crystal Palace,25,England,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,25,0,0,0.0,-1,-1,-1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
